"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"151" -13.6334224373829 -13.2419516223252 -12.3969846578476 -10.8058342772171 -9.29718845949361 -16.552470478605 -14.9380651185812 -10.7999347540445 -7.1208115951753 -8.4740858200862 -9.45743480358523 -10.8538360065238 -7.14642546836537 -7.44527367614016 -12.22112879286 -16.7579667114254 -14.5961030502078 -9.93559544641063 -9.58261278621069 -10.9636738838607 -15.8623454142526 -11.2781455030013 -11.6719791031111 -8.64977920536827 -9.9007964614505 -8.76661732146253 -14.7101053961448 -7.62355632856664 -8.89775236843679 -9.14691876178555 -10.6904271544961 -12.9405763083332 -15.8389856021536 -17.2362079462753 -14.3524672797345 -9.26794870758267 -7.15740485835505 -12.2664276092414 -15.6095009373796 -3.34509670771006 -10.5083627387081 -10.2629021370235 -13.0575469994123 -8.29310220402364 -13.7417593375182 -7.25614414426117 -11.9775327741955 -14.1775510561153 -9.91149251789654 -12.1952280897403 -13.3360829425904 -13.4919898541211 -15.6093445157468 -13.8317657804314 -13.1204911560402 -13.4772225902939 -10.6810255866927 -9.74137870536975 -10.3019927102954 -9.40651242551986 -12.0828358141728 -10.9069520130447 -12.6529712833097 -6.08276899168143 -8.59417949576267 -8.59515510686668 -14.2237633854976 -7.7232567481718 -10.3334674888515 -12.6279456082592 -6.87106415180077 -11.4928052716924 -16.5694108227813 -11.5572126035604 -10.4449876116077 -11.7358561778965 -13.6140442627085 -11.1902282238775 -9.40730152081695 -10.2487804327438 -8.31132837161179 -6.67315316634969 -8.5966221905633 -10.3474113312447 -10.4655336648635 -13.8109559752854 -12.4195879625727 -16.5874712257885 -10.9314397132448 -9.99022858737695 -10.567514481842 -12.7396968539693 -11.8009625093613 -7.83350988253964 -8.51078236432923 -4.78699372808096 -13.0779963021437 -8.08316136820559 -7.1593095859193 -12.4042695629329
"152" -13.1708961812446 -13.0625096089093 -12.5564515711437 -10.8966081126409 -9.08048174996259 -16.6919002080272 -14.7538661849161 -10.5701278700125 -7.26808205913405 -8.41144593212137 -9.11513261765244 -10.8787774870705 -6.97288276209189 -7.54059308725197 -12.02424264448 -16.3221960395466 -14.7177034764247 -9.90718775288935 -9.64519783360423 -10.9323137401055 -15.9794131511464 -11.295997554039 -11.3448288812856 -8.70472161743707 -9.8429272830338 -8.92458022265588 -14.8039386230772 -7.74529344798625 -8.90151591716018 -9.27929514501587 -10.4517652312419 -12.7989324159103 -15.6740384387539 -17.3528761753526 -14.4381563437855 -9.17811905433434 -7.12674980739396 -12.0986500783244 -15.6342011068915 -3.34240298795012 -10.6527836706653 -10.1284616856434 -13.0453492573037 -8.33888032504357 -13.6767521880564 -7.41257314089208 -11.8416673335648 -14.2669171038726 -10.0445794337169 -12.1914554844984 -13.3823792962189 -13.1163825781138 -15.03995908629 -13.9828179326995 -12.8389608125926 -13.6077738525444 -10.6432846107742 -9.61429275628716 -10.1409643096169 -9.40910546488982 -12.113277798712 -10.9684145413978 -12.6120149828973 -6.16318937134532 -7.67899725292025 -8.75353214203136 -14.3883159501524 -7.79131738198906 -10.4934917894447 -12.7367688150576 -7.01601886412171 -11.6351546449064 -16.6792482002825 -11.5642683326776 -10.2009009612194 -11.8461459357252 -12.85315812886 -11.2767491498702 -9.3010774215236 -10.3755944539426 -8.38714641420264 -6.79060765170425 -8.62944072701621 -9.92739775999567 -10.6188364171319 -13.6468311902693 -12.0707380169456 -16.7281812059433 -10.4887023687511 -10.1186651460129 -10.6354984490275 -12.9035091196514 -11.9232631108262 -7.97261285594666 -8.66923638117518 -4.93973091939088 -12.799864750293 -8.03205854453064 -6.95048241019698 -12.3175000859617
"153" -13.2485881381409 -13.1563798542044 -12.4749022885282 -10.999338257926 -9.16305709428267 -16.6089874678764 -14.554117111686 -10.6627404973802 -7.33766619047282 -8.53741998461635 -9.13843905395435 -10.5487416897782 -6.76478582262181 -7.6151231964195 -12.1459248948826 -16.4153930148016 -14.5776372453222 -9.99975745362653 -9.70699980413725 -10.8902845704091 -15.8241781029794 -11.4108685931164 -11.4510648866264 -8.76788612098736 -9.58111832559987 -8.99680308668109 -14.7617515154393 -7.77282132381583 -9.02504526903904 -9.28922360233368 -10.487551235491 -12.7674221957721 -15.6997117152152 -17.4834314810098 -14.2249251264954 -9.26640533948639 -7.16002983897908 -10.7252905153468 -15.7025462612909 -3.34146687012997 -10.4453114829502 -10.0692213558393 -13.0899125617935 -8.30459504153884 -13.7632350994177 -7.50403578415682 -11.9336906771834 -14.3386263875831 -10.1417035608524 -12.2392017622083 -13.2615270213339 -13.0676663908297 -15.0376284297388 -13.8828744585118 -12.9231105823372 -13.6693069204855 -10.7121419543007 -9.7401730773705 -10.2248622760632 -9.47447672617414 -12.1503846982125 -11.0974281270136 -12.7015836134593 -6.2325483519609 -7.75231956038487 -8.67500007404982 -14.3151150521184 -7.51554089933895 -10.5519979007465 -12.7824233660993 -7.05590106336351 -11.6685261705957 -15.3541971108465 -11.4040106509702 -10.3107508160597 -11.9153773912774 -12.8762585539086 -11.3416405147533 -9.25469662164033 -10.4612530660331 -8.13884019799902 -6.8079143146047 -8.57372311940299 -10.0554508575244 -10.670112161658 -13.1265354949091 -12.0660960054973 -16.8498360085998 -10.5071461184004 -10.076980595658 -10.2170429648166 -12.9906768174752 -11.8664653120648 -7.90903503922267 -8.78754261557877 -4.75915403080682 -12.6136823080992 -8.09160462042062 -7.02467877388042 -12.2692147674593
"154" -13.1959406228384 -13.2405673627216 -12.1368908229399 -10.7496945042079 -8.65494009985601 -16.665326401076 -14.5006069200822 -10.7017201352772 -7.48851110951019 -8.56263291755683 -8.9910094955354 -10.5770128224129 -6.79700189020447 -7.67954432847429 -12.3035449821522 -16.5806996403489 -14.4704472817469 -9.66779875778965 -9.80855415416537 -10.9462683711073 -15.5190700265738 -11.3252870849563 -11.4314696641235 -8.74458155373685 -9.61337153658373 -8.91033854452321 -14.8022210508752 -7.85074958698175 -8.75854924252826 -9.20983558490709 -10.4318392524632 -12.7682885602782 -15.7814389930905 -17.420542210059 -14.1761718232048 -9.05724717968777 -7.30418275054363 -10.6404347105259 -15.6984462939314 -3.2844331920582 -10.5429170969836 -10.1378725997955 -13.2062353005534 -8.35476409450027 -13.9214015524405 -7.52251038375209 -11.7101581819764 -14.4721980293288 -9.91271193098213 -12.2877133344985 -13.1420241241707 -12.6907180929446 -15.1422066241747 -13.796549238967 -13.0219630373913 -13.7728382509758 -10.5814566421316 -9.83265635068511 -10.3790083927958 -9.43328961757106 -12.1918508682356 -11.2585289452479 -12.5225580338524 -6.14852811721989 -7.48823987546474 -8.78761972558513 -14.0284254720031 -7.58177061597594 -10.6957168795386 -12.9421991934395 -7.10881848645595 -11.4608038746387 -15.521857421406 -11.3432654593501 -10.1823606431604 -11.6773197503561 -12.6265759956393 -11.4088563505182 -8.89044589200507 -10.5816665115346 -8.25237148852163 -6.93409928885951 -8.60056773945992 -10.1738218475333 -10.3995814527479 -12.1649203306103 -12.1628428143987 -16.9207449544385 -10.5047439284582 -10.0466963910351 -10.1201276500907 -12.32147268441 -11.8025518375211 -7.54372431474859 -8.57766912401179 -4.85059573655091 -12.1046755757831 -8.04659258225153 -7.14887314262613 -12.1773255958756
"155" -15.7518733873895 -14.2662894279047 -10.1522156232093 -11.4670501345025 -8.56724394486204 -20.0360012069078 -18.1599032727015 -12.3676766836542 -10.7740039157139 -10.4373464460483 -9.32762736204413 -12.0237293582974 -7.09722974128806 -9.26725987373851 -14.532863924047 -20.0269526919999 -13.5902301257322 -9.2948902326365 -13.1297416616676 -11.7615609791605 -16.7041252794178 -12.5156331698501 -14.8920027418346 -10.2916839178324 -9.02787490059787 -10.6696269941702 -13.384493599691 -7.16787428810846 -9.25828846908174 -11.3998937633732 -11.3495693377866 -10.8099974667879 -17.6253732807635 -18.4580200759632 -14.5954486930703 -12.2881676207943 -8.12140361695461 -11.9666066880151 -17.6502799417856 -5.90953310947879 -13.0901812631913 -11.8562041918425 -14.7993809634314 -10.9460847034488 -14.9704159332485 -8.94583022965971 -11.3739048950094 -16.7710852370556 -11.6985007952817 -13.3391097953458 -13.5720465746065 -10.4683142194537 -11.4799774790869 -14.9836506572192 -12.3503417287453 -14.8576453205899 -9.65371453605537 -15.2139022578506 -12.2906238302191 -9.64667731911302 -12.4515750632751 -11.120547097682 -15.644341183501 -9.73278863962841 -8.27691950314087 -10.3076394182505 -16.6365440789791 -4.96925204625172 -14.6766655620968 -16.2894442672655 -6.60732595385265 -14.1712410708233 -13.5577330170734 -11.9003064315862 -12.571546488932 -15.0586965822236 -15.7174004767369 -9.76333325597281 -8.74305586064597 -15.7808128950695 -10.4158878093437 -9.93688550765073 -10.340365837879 -12.5312581203682 -12.851660507078 -14.0473611659502 -13.5769250979127 -18.7131509951694 -8.87036900767435 -12.7889925399591 -12.3093231879728 -11.521948653353 -12.2859866684031 -9.6826889221717 -5.70463669871324 -6.57676212543474 -15.6367677044981 -8.96805781893173 -8.82401412367198 -14.2769487451895
"156" -16.6791172389104 -14.5477038674103 -10.1104035326969 -12.210410764714 -8.85451129221635 -20.2381983869836 -17.5573766583689 -12.0914514106794 -11.2988684655082 -10.673518427166 -9.74583731897867 -11.9253429274891 -6.97591395030634 -10.0333671496351 -14.629241590009 -18.318320014536 -13.363954370473 -9.77699212948038 -13.6188147666132 -11.7634220838862 -17.7088289734046 -13.1062279265616 -14.9493672970689 -10.4145121285814 -9.75101897383299 -11.1112437416985 -13.6052637731998 -7.39805170298509 -9.68509988932125 -12.2841935881271 -11.9044180024047 -11.2283496733062 -17.5801720794935 -17.6282017145095 -15.2964798534839 -11.7029319049949 -8.4891967370978 -12.6268505680811 -18.7578156977426 -6.83921629966984 -13.8055280347596 -12.5412198978165 -15.4839669092638 -10.9904165489944 -14.0237710305944 -8.66383277018192 -11.6468905843512 -16.5158087254167 -11.8788166144997 -12.8791590878387 -13.8853619543284 -10.9685325277246 -10.9307930559675 -15.567343891422 -13.0534244456885 -15.6386555510774 -10.3727761100486 -14.7242156625586 -11.3103966682469 -9.98911570990966 -13.0225824938073 -11.6092856133591 -14.601836533428 -10.2506575925926 -7.33146779259803 -10.3552967297448 -17.1438130972989 -5.43044700528239 -15.0590451589056 -17.4337361800754 -5.78994485454079 -14.2412004924201 -14.1810592800617 -12.0863308505072 -13.4791821173813 -15.6020755410986 -16.5302634378858 -9.83729303520937 -8.86627512561908 -15.6328212197156 -10.1816637241503 -10.7432645161218 -11.0338154142459 -13.0735442143801 -13.1015642995141 -13.8699096087183 -14.617519404721 -19.6949393429769 -9.31021152549649 -12.0949459251499 -11.4921846931644 -11.3348941869536 -12.7413349095784 -10.2387227890443 -6.11729032647232 -6.43434820788633 -16.0973170021985 -9.32104658254804 -8.66953362980736 -14.6054988914325
"157" -16.7799622772457 -14.1946518917883 -9.8824699081905 -11.7550749179538 -9.24624463423773 -19.9422412670129 -18.0474153567892 -11.7018257125111 -11.6984149466304 -10.9513893460237 -9.57233275903162 -11.9613513209671 -6.87799373203162 -10.3779593736694 -14.4883519530612 -18.8642892890946 -14.0621483159822 -9.75276155702194 -13.883935341764 -12.1587928991802 -17.8778619744549 -11.7908488264994 -14.7648971021154 -10.2920397679146 -9.65645799568067 -11.4350969690783 -13.3005565172045 -7.49399129019555 -10.0305378352047 -12.5757392258768 -11.8962121078139 -11.5201017094262 -17.0339646849582 -18.0189628584445 -15.7194476259354 -10.0147876035496 -8.82070490472429 -13.2647115464482 -18.6522784304613 -6.84423290006797 -12.3589434749205 -12.699868420791 -15.6619241993816 -11.1195427463042 -14.6044299030449 -8.87500330083864 -11.2598353216538 -15.9673854661279 -12.4266386958067 -13.057065357222 -14.2880730748334 -11.4918188725626 -10.1805674491412 -14.335068561008 -13.2007125453158 -15.4940652820668 -9.79446712466532 -14.7951573346704 -11.6670687191618 -9.54044710580113 -13.5979594648792 -11.5884023606112 -15.1090972067602 -9.8296217026612 -7.66973174149279 -10.9496220222192 -17.1095862897551 -5.58894819248223 -15.1892070851066 -17.2005875415641 -6.09324122098438 -14.12028997422 -14.3517551132516 -11.3093342284761 -13.3631466019491 -15.8472654030785 -15.2573889285208 -10.2802855478008 -8.76674613085022 -15.0498304865085 -9.76895196983489 -8.95219474388336 -9.92293640173283 -11.8587998998732 -13.1555973086113 -13.20242568822 -13.9284977800277 -19.8828123333273 -9.1870846605971 -12.4508021501115 -11.8373942773125 -11.8566672373057 -12.8254320826857 -10.1886247474356 -5.98537849086735 -6.68471219764077 -16.4866293688629 -9.61440655651302 -6.97588091121324 -14.6076453597423
"158" -16.3776264059383 -14.160304997966 -9.76407594114446 -11.8137590686131 -8.89565072649654 -19.4769986323533 -17.5347068278892 -11.9318313709298 -11.0593830423169 -11.1622505753328 -9.81249480889057 -12.0307348711846 -6.97881830635896 -10.4324548559882 -14.5463233247919 -19.0642704985064 -14.1549092400907 -9.54582939565616 -14.1627533867406 -12.3979702800508 -18.0261669879972 -11.343936552377 -13.0486028254734 -9.79702756037995 -9.76860035050848 -11.1093375049754 -13.326247381787 -7.27839893146496 -10.2831329355727 -12.5578955122522 -11.796002885088 -11.7935034646231 -17.070015398814 -18.225140799826 -15.9541818939837 -10.1094563550213 -8.59794674282302 -13.0413994854795 -18.042180812599 -7.10100960925684 -11.652613042271 -12.7586587796362 -14.8078526958743 -11.3912763046785 -14.6626787946769 -9.08040868207849 -11.2318647292771 -16.0909335054167 -11.9945319733028 -13.3118292669226 -14.5137882925158 -11.699129128742 -10.3791973658895 -13.510516940585 -12.9766865767607 -15.1323892123432 -9.66001370123004 -14.80055312366 -11.469465796344 -9.74139638820455 -13.5168059793462 -11.7942680737067 -14.2923746123004 -9.73037392319083 -7.13401297736174 -11.1916498328542 -16.0728895298102 -5.80703065786146 -15.3543379116993 -16.7133055644488 -6.2080145805379 -14.3981992918824 -14.5650884016989 -11.313358002355 -13.4149358120277 -15.7614533656772 -15.2951893415046 -9.95431916583698 -9.01467840529957 -15.2371345445591 -9.83797382572451 -9.01411351804686 -9.3602135078958 -12.0183251137883 -13.3583254686773 -13.2423625372918 -13.597160802911 -19.5050889659878 -9.42443637818375 -12.0244310572624 -12.0692595112952 -12.0708082289643 -12.9680638512813 -9.43199133879837 -5.90219053073981 -6.5882280314524 -16.7136899033071 -9.88069254313448 -6.94586037377913 -14.842901475881
"159" -15.6641682058883 -14.1264413012661 -9.47729707570901 -11.9490283843819 -9.03658006568238 -19.4975911553649 -15.7733412796597 -11.8926887500481 -11.2464502753049 -11.4610156340417 -9.77509805387033 -11.8743527532266 -6.54485982301642 -10.4269432859005 -13.9626424971144 -19.1889513342212 -14.2268834910527 -9.83123437599636 -14.1215871056659 -12.6817926976345 -17.7488135896751 -11.39107603585 -13.2423471589741 -9.69604632126138 -9.72711535183717 -10.6319933059748 -13.4252615254385 -7.47760752373252 -10.156756969447 -12.8449957266722 -11.7075453767369 -11.8165120587318 -17.2799334996906 -18.4712415829865 -15.5528058512513 -9.94454781099843 -8.3477542253195 -13.0410348114951 -18.1307970630493 -7.03420665695735 -10.9665241594394 -12.9832791586496 -14.9478358807111 -11.3742514058032 -14.5743797253483 -9.27808356944284 -11.5443551918739 -16.3866462094021 -12.3153216971503 -13.5381359272688 -14.3985578793535 -11.8554267362898 -10.4156567317212 -13.0042711330265 -13.039951647272 -15.350324899806 -9.91025316331378 -13.5244497267221 -11.5283466197339 -9.65599769463528 -12.9266617350318 -11.8755867665117 -13.5691903285149 -9.75039793922923 -7.26738716539843 -11.4292987445066 -15.1451906348141 -5.91863303886673 -15.1730262213258 -16.6942179324493 -6.45213708292516 -14.4786312179388 -14.6744040130124 -11.6302127043492 -13.6534193984281 -16.0660371707985 -15.5071779107476 -9.63941390572178 -9.28315166724876 -15.2502158195009 -9.91229845894264 -9.27640286897295 -9.36301815392784 -12.3392871231802 -13.4729606695957 -13.5353059223541 -13.4286232626714 -19.5792036648879 -9.67889773128709 -12.0335652110474 -12.2396712411313 -12.2035324168426 -12.9847318911063 -9.74336391313615 -6.06253377376551 -6.24579060541903 -17.0371921270111 -10.1133093967869 -6.5700859202906 -15.0672525826946
"160" -14.9441964130302 -14.2618091937141 -9.58332703028331 -12.0504486405627 -9.12658758908222 -19.6254975963269 -15.9084163894557 -11.8676478660203 -11.3751129979747 -11.5608780661996 -9.90287227280953 -11.9827043393282 -6.65706131174844 -10.5579678066128 -13.9786050333572 -18.7526904080001 -14.3576040011441 -9.94321958194111 -14.2547472252169 -12.8103144029098 -17.8791525417432 -11.2848369884008 -13.1630479849757 -9.54529151961563 -9.82436934260518 -10.7539662682044 -13.5233416964475 -7.10730736060219 -10.164458595041 -12.8438277759067 -11.6834493538224 -11.9078673122201 -17.001533078832 -18.4817826339495 -15.6058336973502 -9.5604778262278 -8.43151036241381 -12.657514845654 -18.2479691569279 -7.13937670297853 -11.0985263986195 -13.0165644902609 -14.4747338711772 -11.2828196303965 -14.3020643865181 -9.23532864863501 -11.6627308561271 -16.3048501276939 -12.1113015528021 -13.3499302009863 -14.1346349018077 -11.9530065548988 -10.0694623929539 -12.920382873799 -13.0755056458105 -15.4827659478425 -9.83160214819687 -13.6394438279396 -11.5430755562763 -9.639616011819 -12.716684500049 -11.9790601377363 -13.572106701407 -9.70952184992762 -7.3198189254474 -11.0753929829976 -14.4394346752877 -5.835915626618 -14.9146655752626 -16.4106656099136 -6.56377840859605 -14.4768623421565 -14.6977837137829 -11.6690451771481 -13.5323705353356 -16.177830276996 -15.5694984107662 -9.70117704197755 -9.25956747633847 -14.9290480311424 -9.2534343206061 -9.3680116339552 -9.46329599831754 -12.4551287278967 -13.5147425450649 -13.3448444767084 -13.3424012717658 -19.4568960622456 -9.46733464790883 -11.5953208527143 -12.3720100250804 -12.313017334767 -13.0965116134874 -9.53553177259201 -6.12308347283157 -6.30890013028516 -16.7838949621319 -10.2418082058475 -6.60636390526308 -14.9557748684678
"161" -14.9284211769026 -13.9872746634013 -9.58302096287909 -12.0482400287871 -9.10931717940124 -19.4792677286169 -15.740311006522 -11.6153002632806 -11.3580142367611 -11.5612163920833 -9.90260657082322 -11.8668178021948 -6.55487228107818 -10.1705549674836 -13.9235810705519 -18.7360062866385 -14.3182054623947 -9.83853352668358 -14.2417220448491 -12.7832860270061 -17.7300203337388 -11.2455855384227 -13.1621652374196 -9.53254275541717 -9.7879528803374 -10.7195601288042 -13.3499100828996 -6.9728750749416 -10.1316550365169 -12.8321795409604 -11.6776235458526 -11.8226864368451 -16.965981250959 -18.3616822981688 -15.6030205790336 -9.44014448894914 -8.4291988323633 -12.5445638221285 -18.2394988773358 -6.55476823321706 -10.9270525221034 -12.9448342220362 -14.4323900845947 -11.2459627781075 -14.0941322792085 -9.13957780426982 -11.6189323851548 -16.2931544178291 -12.0494097006441 -13.3477994398709 -14.1341640082451 -11.9017050619771 -10.0488000038759 -12.8972776147191 -13.0574587559909 -15.4808809898383 -9.83186744141447 -13.2612923436643 -11.414466028568 -9.62222177093255 -12.4094509193563 -11.8502047779829 -13.5709826235575 -9.70966829890498 -7.31962858313939 -10.8429573897353 -14.4333523374274 -5.83614582674206 -14.8510585141441 -16.3388861354259 -6.55583477553858 -14.4335935285604 -14.6827908482245 -11.6239365807411 -13.2065166720545 -16.1781691169226 -15.5270596539791 -9.11899133579528 -9.2585685340655 -14.9177278797443 -9.23821356808776 -9.35559510060142 -9.38040205358048 -12.4345512919404 -13.5098802277953 -13.3442752585502 -13.2809312343907 -19.3715724369419 -9.46658037352384 -11.5945297296504 -12.3722488304425 -12.1507173542259 -13.0151594907733 -9.39637590117157 -6.0732258714556 -6.29382882219509 -16.6965444403344 -10.2314760994859 -6.56382566924587 -14.907007248711
"162" -14.9170291312333 -13.9148696408834 -9.42452622523184 -11.9706070272 -9.10275606423014 -19.4903827148449 -15.7293933299204 -11.6044221854605 -11.0973174420059 -11.5523928103984 -9.90453426113858 -11.8005952998266 -6.56427929952614 -9.9537824572729 -13.7516821636678 -18.6298109955929 -14.3088312494723 -9.84337755453892 -14.1991437212187 -12.5790510375643 -17.7046473902926 -11.1162334470861 -13.1479610631856 -9.53684086354452 -9.77758547860736 -10.6919183959251 -13.3553282051138 -6.94885346699925 -10.1378472976256 -12.7867643965884 -11.6747265477726 -11.8088511739483 -16.9768736174135 -18.3489304157602 -15.4399243736589 -9.40234479065478 -8.41606618945379 -12.552536158448 -18.2021080210407 -6.56145958183068 -10.9336766891098 -12.8986037194814 -14.3545844815743 -11.2428215652017 -14.069248924811 -9.12702630628257 -11.6262238072608 -16.2580621207138 -12.0093476149494 -13.2414899351043 -14.0914388933815 -11.9013444476761 -10.0375684202852 -12.877270073734 -13.0652585947587 -15.4731948237694 -9.82285228100357 -13.2696320467573 -11.4239672987986 -9.49707095922454 -12.4146333669852 -11.8215130170516 -13.3633612866139 -9.7171181483352 -7.29549786215502 -10.8529970379298 -14.4437081972363 -5.84596495791312 -14.8157745413689 -16.3130193255402 -6.56074866405931 -14.4162578918295 -14.5951363470688 -11.6164162838037 -13.0369281120599 -16.1890591249445 -15.5341256333353 -9.11035665522333 -9.0540514228995 -14.8581549250042 -9.07259999660313 -9.03378546177229 -9.37479581973524 -11.831459326789 -13.5195040955607 -13.1930903324493 -13.2692197749197 -19.2789282215579 -9.37303103095437 -11.6048580694549 -12.2833491412539 -11.9909261765826 -13.0203757738301 -9.39804705433942 -5.86657290527905 -5.93165499608981 -16.7062030710033 -10.2164826836771 -6.5345247040375 -14.9145442216354
"163" -14.8135075752261 -13.156401903517 -8.57777573067928 -12.0156910646959 -9.15316111251379 -19.3929933553197 -15.6579098349639 -11.8412119209403 -11.1307099505937 -10.9707793979165 -9.40026901082645 -12.0226503288897 -6.74191315193133 -9.81008073815526 -13.5421142937505 -18.3670646502123 -14.3080658928572 -9.95880853172186 -13.988998632886 -12.2713928712451 -17.3868283981421 -11.4289079620862 -13.3404549246456 -9.52759527051927 -9.35152242211199 -10.6217226000479 -13.500655262103 -6.84771125439576 -10.273062639644 -12.7117755124883 -11.4518522232478 -12.1306522307751 -17.1999490046627 -18.2402485461937 -15.6712632627717 -9.17496497319448 -8.5053601043448 -12.8791301009878 -18.2326940801516 -6.78037504733648 -11.0672093218107 -13.0184773709768 -14.1924804767583 -11.4632708615303 -14.0531778779707 -9.18168297677528 -11.695229197263 -16.454372600016 -11.7214904273768 -13.2516566857202 -14.2273400516541 -11.9024460323413 -9.28361424753648 -12.8744605459981 -13.1850133301189 -15.1303199785183 -10.0321786077022 -13.0132079785315 -11.6905158523447 -9.55332920897447 -12.7241953438168 -11.797416237044 -13.1870459845024 -10.0083215514253 -7.18628099172349 -11.0728008941441 -14.2920024088108 -5.78591701593061 -15.0555166918746 -16.2322782089378 -6.7317161260855 -14.6539025711057 -14.5425138449953 -11.5339745565821 -12.2319266266174 -16.1942866348456 -14.9022523773622 -9.2810989731436 -8.98539279447701 -14.5627037921862 -9.34084784328655 -8.69846898059448 -9.42687388454784 -12.0334601119952 -13.6488214563858 -13.3549006780934 -13.2990017078308 -18.9168668931619 -9.68679908958421 -11.5459618771678 -12.4328367595698 -12.0077059467507 -13.1483806884532 -9.38353368723923 -6.08527382339015 -5.98904080728888 -16.9541219616065 -9.95704442913574 -6.5802559359293 -14.4593029296122
"164" -14.3772042025062 -13.2104281869818 -8.62337512360874 -12.0556839690134 -9.11140198779758 -18.7940110421724 -15.7137325112199 -11.5640865834947 -11.0240915737987 -11.0190666398199 -9.44839157615385 -12.0199445704475 -6.7920823627782 -9.78057691937158 -13.5986051098824 -18.4008466647291 -14.348852825179 -9.89403913088309 -13.9476675290037 -12.3252993381129 -17.1396568863369 -11.298090463769 -13.3244584189234 -9.50525481727924 -9.4048894842266 -10.6011176969522 -13.5036359343943 -6.81619009692722 -10.2715824798811 -12.6451844160945 -11.5019655336621 -11.9949803428041 -17.1081315253164 -18.0792233600073 -15.7112390698372 -9.22168508109673 -8.52782928017859 -12.6324188707852 -17.8470414217618 -6.83103470515416 -11.1210320921312 -13.0728862836779 -14.2460454657117 -11.3980107783694 -14.1070614162033 -9.18728042106636 -11.7350311751867 -15.8401212958396 -11.6283461926173 -13.1042738067654 -13.8246092964909 -11.9578863204751 -9.22182979999162 -12.8729310452499 -13.2366195685424 -15.1466098163503 -10.0752774990197 -13.0033081110239 -11.7460302538812 -9.60547632417477 -12.7500915717208 -11.8243261552014 -13.2197504966742 -9.91221806844147 -7.20106365180502 -11.0272774564158 -14.2418133410523 -5.71091627428282 -15.1092848105548 -16.0687441677863 -6.78482501503028 -14.7108965153075 -14.4711126884757 -11.5259155999518 -12.2872999453993 -16.2519242952804 -14.9381251455795 -8.92555384338563 -8.17847952489037 -14.2242106316328 -9.38835078326903 -8.53759712565285 -9.38209809249517 -11.8576021641124 -13.2749839198526 -13.2618216100629 -13.35175511613 -18.8555114328125 -9.42763888441662 -11.5955796859645 -12.4092257616404 -12.0296479021019 -12.9737726930487 -9.40288382482948 -5.99814503775167 -5.87926402802164 -16.9427251145466 -9.81354711716609 -6.45682663295932 -14.488879596894
"165" -14.0776596040679 -13.3298814550805 -8.753477086451 -11.6244167288701 -9.25219507320612 -19.0674039636934 -15.9182011712407 -11.1448227815715 -10.8412139715213 -11.1384630470637 -9.48265157027375 -11.9402246311896 -6.6207814133677 -9.82443359126239 -13.7352831744433 -18.6915151842604 -14.502740586372 -9.90487739366563 -14.1942071606314 -12.4590597865489 -17.2467953285807 -10.9060533330647 -13.4217978920505 -9.44821603780692 -9.45312653666594 -10.7399489814141 -13.6891819479576 -6.78323722097529 -10.4145268405595 -12.8484566394009 -11.4726822215085 -11.7562168188265 -17.1568718928437 -18.3552613237463 -15.6528042762581 -9.40174691767668 -8.03715617986462 -12.0656576467043 -18.0019152374606 -6.75497667104714 -11.3232856735503 -12.5779040317917 -14.4174611736267 -11.5494513346506 -14.1226792529777 -9.3849303257356 -11.863577774516 -15.8379456330586 -11.1945970592294 -12.8203466036714 -13.9737448151099 -11.755961691591 -9.23094251893584 -12.8162087441438 -13.2038725411989 -14.9801859967603 -10.1164167600006 -12.57520405372 -11.8632688328649 -9.69901004913698 -12.2089316660751 -11.9056605174352 -12.9529348012576 -9.83967869655489 -6.94596296307661 -10.4467914994575 -14.0272312921112 -5.97004584072713 -15.2682061815314 -16.2310198385647 -6.98316499721789 -14.8264580538456 -14.2938324229457 -11.6939293531984 -12.3892204007525 -16.4494200418234 -14.9955311906592 -8.72784909833415 -7.33832345054617 -14.4870824115216 -9.42169640604313 -8.20304326203443 -9.16400599019491 -12.0984700609615 -13.0147049701789 -13.4512678202793 -13.6265186489659 -19.1388246387078 -9.4675179302304 -11.7067253081335 -12.3765676700345 -12.1524940704344 -12.9800210460321 -9.57631355572968 -5.81494123475843 -5.53541655378174 -16.5433533915303 -10.0028159942976 -6.33407109085447 -14.7617129112878
